,0
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,0
553,1
554,0
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,0
586,1
587,0
588,0
589,1
590,0
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,0
599,1
600,1
601,0
602,1
603,1
604,0
605,1
606,1
607,1
608,0
609,1
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,0
640,1
641,0
642,0
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,1
663,0
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,1
689,1
690,0
691,0
692,0
693,1
694,0
695,1
696,1
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,1
706,1
707,0
708,1
709,1
710,1
711,0
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,1
733,1
734,0
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,1
749,0
750,1
751,1
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,0
774,0
775,1
776,1
777,1
778,1
779,0
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,1
788,1
789,0
790,1
791,0
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,1
808,1
809,0
810,1
811,0
812,1
813,0
814,0
815,1
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,1
824,1
825,0
826,1
827,0
828,0
829,1
830,0
831,0
832,1
833,0
834,1
835,0
836,1
837,0
838,1
839,0
840,0
841,0
842,1
843,0
844,1
845,0
846,1
847,1
848,0
849,1
850,0
851,1
852,1
853,1
854,0
855,1
856,1
857,0
858,1
859,1
860,1
861,0
862,0
863,1
864,1
865,0
866,0
867,0
868,0
869,0
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,1
882,1
883,1
884,1
885,0
886,0
887,1
888,0
889,0
890,0
891,1
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,1
901,0
902,1
903,0
904,0
905,1
906,0
907,1
908,0
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,0
919,1
920,1
921,0
922,0
923,1
924,0
925,1
926,0
927,1
928,1
929,1
930,1
931,1
932,0
933,0
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,1
942,0
943,0
944,0
945,0
946,1
947,1
948,1
949,1
950,0
951,1
952,0
953,0
954,0
955,0
956,1
957,0
958,1
959,1
960,0
961,0
962,0
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,0
971,0
972,0
973,1
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,1
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,1
1004,1
1005,0
1006,0
1007,1
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,1
1040,0
1041,1
1042,1
1043,0
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,1
1060,1
1061,0
1062,1
1063,0
1064,0
1065,1
1066,0
1067,1
1068,0
1069,0
1070,1
1071,1
1072,1
1073,1
1074,0
1075,1
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,0
1085,1
1086,0
1087,0
1088,1
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,0
1099,0
1100,1
1101,0
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,0
1109,0
1110,0
1111,1
1112,0
1113,1
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,0
1122,1
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,0
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,0
1174,1
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,1
1183,1
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,1
1191,1
1192,0
1193,0
1194,0
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,1
1204,0
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,1
1212,0
1213,1
1214,0
1215,1
1216,1
1217,0
1218,0
1219,0
1220,1
1221,1
1222,0
1223,1
1224,1
1225,1
1226,0
1227,1
1228,1
1229,0
1230,0
1231,0
1232,1
1233,0
1234,1
1235,1
1236,1
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,1
1246,0
1247,0
1248,0
1249,0
1250,1
1251,0
1252,0
1253,0
1254,1
1255,0
1256,0
1257,1
1258,1
1259,1
1260,0
1261,0
1262,1
1263,1
1264,1
1265,0
1266,1
1267,1
1268,0
1269,1
1270,0
1271,1
1272,1
1273,1
1274,0
1275,1
1276,0
1277,1
1278,1
1279,1
1280,1
1281,1
1282,0
1283,1
1284,0
1285,1
1286,1
1287,0
1288,0
1289,1
1290,0
1291,1
1292,0
1293,1
1294,0
1295,1
1296,0
1297,0
1298,1
1299,0
1300,0
1301,1
1302,1
1303,1
1304,1
1305,0
1306,1
1307,0
1308,1
1309,1
1310,0
1311,0
1312,1
1313,1
1314,0
1315,0
1316,0
1317,0
1318,1
1319,0
1320,1
1321,1
1322,1
1323,0
1324,1
1325,1
1326,1
1327,1
1328,0
1329,1
1330,1
1331,0
1332,1
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,1
1344,1
1345,0
1346,0
1347,1
1348,1
1349,0
1350,0
1351,0
1352,1
1353,1
1354,1
1355,1
1356,0
1357,1
1358,1
1359,1
1360,0
1361,1
1362,1
1363,1
1364,0
1365,0
1366,0
1367,1
1368,1
1369,0
1370,1
1371,0
1372,0
1373,1
1374,0
1375,0
1376,1
1377,0
1378,0
1379,1
1380,1
1381,1
1382,1
1383,0
1384,0
1385,1
1386,1
1387,1
1388,1
1389,0
1390,1
1391,1
1392,0
1393,0
1394,1
1395,1
1396,1
1397,0
1398,1
1399,0
1400,0
1401,0
1402,0
1403,0
1404,1
1405,1
1406,1
1407,0
1408,1
1409,0
1410,1
1411,1
1412,1
1413,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,1
1420,1
1421,0
1422,0
1423,0
1424,1
1425,1
1426,1
1427,1
1428,0
1429,0
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,0
1439,1
1440,0
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,0
1448,1
1449,0
1450,1
1451,0
1452,0
1453,1
1454,0
1455,0
1456,0
1457,1
1458,1
1459,0
1460,0
1461,1
1462,0
1463,0
1464,1
1465,1
1466,0
1467,0
1468,1
1469,0
1470,1
1471,1
1472,1
1473,0
1474,1
1475,1
1476,1
1477,0
1478,0
1479,0
1480,0
1481,1
1482,1
1483,0
1484,1
1485,0
1486,1
1487,1
1488,0
1489,1
1490,0
1491,0
1492,0
1493,0
1494,1
1495,1
1496,0
1497,1
1498,1
1499,1
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,1
1510,0
1511,0
1512,1
1513,0
1514,1
1515,0
1516,0
1517,1
1518,0
1519,0
1520,0
1521,1
1522,0
1523,1
1524,1
1525,1
1526,0
1527,0
1528,0
1529,0
1530,1
1531,0
1532,0
1533,1
1534,1
1535,1
1536,0
1537,1
1538,1
1539,0
1540,1
1541,0
1542,1
1543,1
1544,1
1545,0
1546,1
1547,1
1548,1
1549,1
1550,0
1551,0
1552,1
1553,0
1554,0
1555,1
1556,0
1557,0
1558,0
1559,0
1560,1
1561,0
1562,0
1563,1
1564,0
1565,1
1566,0
1567,1
1568,0
1569,0
1570,0
1571,0
1572,1
1573,0
1574,0
1575,0
1576,1
1577,0
1578,0
1579,1
1580,0
1581,1
1582,1
1583,0
1584,0
1585,0
1586,0
1587,1
1588,1
1589,0
1590,0
1591,0
1592,1
1593,0
1594,0
1595,1
1596,0
1597,0
1598,1
1599,1
1600,0
1601,1
1602,1
1603,1
1604,0
1605,1
1606,1
1607,1
1608,0
1609,0
1610,0
1611,1
1612,1
1613,1
1614,0
1615,0
1616,1
1617,0
1618,1
1619,1
1620,1
1621,1
1622,1
1623,0
1624,1
1625,1
1626,1
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,1
1634,0
1635,0
1636,0
1637,1
1638,1
1639,1
1640,0
1641,1
1642,0
1643,0
1644,0
1645,1
1646,1
1647,0
1648,0
1649,1
1650,1
1651,0
1652,0
1653,0
1654,0
1655,0
1656,1
1657,0
1658,0
1659,1
1660,1
1661,0
1662,0
1663,1
1664,1
1665,1
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,1
1673,0
1674,0
1675,0
1676,1
1677,1
1678,1
1679,0
1680,0
1681,0
1682,1
1683,0
1684,0
1685,0
1686,0
1687,1
1688,1
1689,1
1690,0
1691,0
1692,0
1693,1
1694,1
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,1
1702,0
1703,0
1704,1
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,0
1713,1
1714,0
1715,0
1716,1
1717,1
1718,1
1719,0
1720,1
1721,0
1722,1
1723,0
1724,1
1725,0
1726,1
1727,1
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,1
1735,0
1736,0
1737,0
1738,1
1739,1
1740,1
1741,1
1742,0
1743,0
1744,1
1745,1
1746,0
1747,0
1748,1
1749,1
1750,1
1751,0
1752,0
1753,0
1754,0
1755,1
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,1
1764,1
1765,0
1766,0
1767,1
1768,1
1769,0
1770,1
1771,1
1772,1
1773,0
1774,0
1775,0
1776,0
1777,1
1778,1
1779,1
1780,0
1781,1
1782,1
1783,1
1784,1
1785,0
1786,0
1787,1
1788,0
1789,1
1790,1
1791,1
1792,0
1793,0
1794,0
1795,1
1796,0
1797,0
1798,1
1799,0
1800,1
1801,1
1802,1
1803,0
1804,0
1805,0
1806,0
1807,0
1808,1
1809,0
1810,1
1811,0
1812,0
1813,1
1814,1
1815,1
1816,1
1817,0
1818,1
1819,1
1820,0
1821,0
1822,0
1823,0
1824,1
1825,1
1826,1
1827,0
1828,0
1829,0
1830,0
1831,0
1832,1
1833,1
1834,0
1835,1
1836,1
1837,0
1838,0
1839,1
1840,0
1841,0
1842,0
1843,1
1844,1
1845,1
1846,1
1847,0
1848,0
1849,1
1850,0
1851,0
1852,0
1853,1
1854,1
1855,1
1856,0
1857,0
1858,0
1859,0
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,0
1867,1
1868,1
1869,0
1870,0
1871,0
1872,1
1873,1
1874,0
1875,0
1876,1
1877,1
1878,1
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,1
1887,1
1888,1
1889,1
1890,1
1891,1
1892,0
1893,1
1894,0
1895,1
1896,0
1897,1
1898,0
1899,0
1900,0
1901,0
1902,1
1903,1
1904,1
1905,0
1906,0
1907,0
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,1
1917,0
1918,0
1919,1
1920,0
1921,0
1922,1
1923,0
1924,1
1925,0
1926,0
1927,0
1928,1
1929,1
1930,0
1931,1
1932,0
1933,1
1934,0
1935,1
1936,1
1937,1
1938,1
1939,1
1940,0
1941,0
1942,1
1943,1
1944,0
1945,0
1946,0
1947,0
1948,0
1949,1
1950,0
1951,1
1952,0
1953,0
1954,0
1955,0
1956,1
1957,1
1958,0
1959,0
1960,1
1961,0
1962,0
1963,1
1964,1
1965,0
1966,0
1967,1
1968,0
1969,0
1970,0
1971,0
1972,0
1973,1
1974,1
1975,0
1976,0
1977,0
1978,1
1979,0
1980,1
1981,0
1982,1
1983,0
1984,1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,1
1992,1
1993,0
1994,0
1995,0
1996,1
1997,0
1998,0
1999,1
2000,0
2001,0
2002,1
2003,1
2004,1
2005,1
2006,0
2007,1
2008,0
2009,1
2010,0
2011,0
2012,1
2013,1
2014,0
2015,0
2016,1
2017,0
2018,0
2019,1
2020,0
2021,1
2022,1
2023,0
2024,0
2025,1
2026,1
2027,0
2028,0
2029,1
2030,0
2031,0
2032,1
2033,1
2034,0
2035,0
2036,0
2037,0
2038,0
2039,1
2040,0
2041,1
2042,0
2043,0
2044,0
2045,1
2046,0
2047,0
2048,0
2049,0
2050,0
2051,1
2052,1
2053,1
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,1
2062,0
2063,1
2064,0
2065,0
2066,1
2067,0
2068,0
2069,0
2070,1
2071,0
2072,0
2073,0
2074,0
2075,0
2076,1
2077,0
2078,0
2079,1
2080,0
2081,1
2082,1
2083,0
2084,0
2085,1
2086,1
2087,1
2088,1
2089,0
2090,1
2091,1
2092,0
2093,1
2094,0
2095,0
2096,0
2097,1
2098,0
2099,1
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,1
2108,0
2109,1
2110,0
2111,0
2112,0
2113,0
2114,0
2115,1
2116,1
2117,0
2118,1
2119,1
2120,0
2121,0
2122,0
2123,1
2124,1
2125,0
2126,1
2127,1
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,1
2136,1
2137,0
2138,0
2139,1
2140,1
2141,1
2142,1
2143,1
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,1
2154,0
2155,0
2156,1
2157,0
2158,1
2159,0
2160,0
2161,0
2162,1
2163,1
2164,1
2165,1
2166,0
2167,1
2168,1
2169,0
2170,0
2171,0
2172,1
2173,0
2174,1
2175,1
2176,1
2177,0
2178,1
2179,1
2180,0
2181,1
2182,0
2183,0
2184,0
2185,1
2186,0
2187,1
2188,0
2189,0
2190,0
2191,1
2192,0
2193,1
2194,0
2195,1
2196,1
2197,1
2198,0
2199,1
2200,0
2201,1
2202,1
2203,1
2204,0
2205,0
2206,0
2207,0
2208,0
2209,1
2210,0
2211,1
2212,0
2213,0
2214,0
2215,0
2216,1
2217,0
2218,1
2219,0
2220,0
2221,0
2222,1
2223,0
2224,0
2225,0
2226,0
2227,1
2228,1
2229,1
2230,1
2231,0
2232,0
2233,1
2234,1
2235,0
2236,0
2237,0
2238,0
2239,0
2240,1
2241,0
2242,1
2243,1
2244,1
2245,1
2246,0
2247,1
2248,0
2249,1
2250,0
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,0
2258,1
2259,1
2260,1
2261,0
2262,1
2263,1
2264,0
2265,1
2266,1
2267,0
2268,1
2269,0
2270,0
2271,0
2272,1
2273,1
2274,1
2275,0
2276,1
2277,1
2278,0
2279,0
2280,1
2281,0
2282,1
2283,0
2284,0
2285,0
2286,1
2287,1
2288,1
2289,0
2290,0
2291,0
2292,1
2293,1
2294,1
2295,0
2296,1
2297,0
2298,1
2299,1
2300,0
2301,0
2302,1
2303,1
2304,0
2305,1
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,1
2315,1
2316,0
2317,1
2318,1
2319,0
2320,1
2321,0
2322,0
2323,0
2324,1
2325,1
2326,1
2327,1
2328,0
2329,0
2330,1
2331,1
2332,0
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,0
2340,0
2341,1
2342,1
2343,1
2344,0
2345,0
2346,0
2347,0
2348,1
2349,0
2350,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,0
2358,1
2359,1
2360,0
2361,0
2362,1
2363,0
2364,1
2365,0
2366,0
2367,0
2368,1
2369,0
2370,1
2371,1
2372,0
2373,0
2374,1
2375,1
2376,0
2377,1
2378,1
2379,0
2380,1
2381,1
2382,0
2383,1
2384,0
2385,1
2386,0
2387,0
2388,0
2389,1
2390,1
2391,1
2392,0
2393,1
2394,0
2395,0
2396,0
2397,0
2398,1
2399,1
2400,1
2401,0
2402,1
2403,1
2404,1
2405,1
2406,0
2407,0
2408,1
2409,1
2410,0
2411,1
2412,0
2413,1
2414,1
2415,0
2416,1
2417,0
2418,0
2419,1
2420,0
2421,1
2422,1
2423,0
2424,0
2425,0
2426,0
2427,1
2428,0
2429,0
2430,1
2431,0
2432,1
2433,1
2434,1
2435,1
2436,0
2437,0
2438,0
2439,0
2440,0
2441,1
2442,1
2443,1
2444,0
2445,1
2446,0
2447,1
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,1
2455,1
2456,0
2457,0
2458,0
2459,1
2460,0
2461,0
2462,0
2463,0
2464,1
2465,1
2466,0
2467,0
2468,0
2469,1
2470,1
2471,0
2472,1
2473,1
2474,1
2475,0
2476,1
2477,0
2478,0
2479,0
2480,1
2481,1
2482,1
2483,0
2484,1
2485,0
2486,0
2487,1
2488,0
2489,1
2490,1
2491,0
2492,0
2493,0
2494,0
2495,1
2496,0
2497,1
2498,1
2499,1
2500,0
2501,0
2502,0
2503,0
2504,1
2505,0
2506,0
2507,1
2508,0
2509,0
2510,1
2511,0
2512,0
2513,1
2514,1
2515,1
2516,1
2517,0
2518,0
2519,0
2520,0
2521,1
2522,0
2523,1
2524,1
2525,1
2526,0
2527,1
2528,1
2529,1
2530,0
2531,0
2532,1
2533,0
2534,1
2535,1
2536,0
2537,1
2538,0
2539,1
2540,0
2541,0
2542,1
2543,1
2544,1
2545,1
2546,1
2547,0
2548,1
2549,1
2550,0
2551,0
2552,1
2553,0
2554,1
2555,1
2556,1
2557,1
2558,1
2559,0
2560,1
2561,0
2562,1
2563,0
2564,0
2565,0
2566,0
2567,1
2568,1
2569,1
2570,1
2571,1
2572,1
2573,0
2574,0
2575,1
2576,0
2577,0
2578,0
2579,1
2580,0
2581,0
2582,1
2583,1
2584,0
2585,1
2586,1
2587,1
2588,1
2589,0
2590,0
2591,0
2592,0
2593,1
2594,0
2595,1
2596,0
2597,0
2598,0
2599,1
2600,0
2601,1
2602,0
2603,1
2604,0
2605,0
2606,1
2607,0
2608,1
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,1
2619,0
2620,1
2621,0
2622,1
2623,0
2624,1
2625,1
2626,0
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,0
2635,0
2636,1
2637,0
2638,1
2639,0
2640,1
2641,0
2642,0
2643,0
2644,0
2645,1
2646,1
2647,1
2648,1
2649,0
2650,0
2651,0
2652,0
2653,0
2654,1
2655,1
2656,0
2657,0
2658,1
2659,0
2660,1
2661,0
2662,1
2663,1
2664,1
2665,0
2666,0
2667,1
2668,0
2669,1
2670,1
2671,0
2672,1
2673,0
2674,0
2675,1
2676,1
2677,1
2678,0
2679,0
2680,0
2681,1
2682,1
2683,1
2684,1
2685,0
2686,0
2687,0
2688,0
2689,0
2690,1
2691,1
2692,0
2693,0
2694,0
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,0
2702,1
2703,0
2704,1
2705,1
2706,0
2707,0
2708,0
2709,0
2710,1
2711,1
2712,1
2713,1
2714,0
2715,0
2716,0
2717,0
2718,0
2719,1
2720,0
2721,0
2722,0
2723,1
2724,0
2725,0
2726,0
2727,0
2728,1
2729,1
2730,0
2731,0
2732,0
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,0
2740,0
2741,0
2742,0
2743,1
2744,0
2745,1
2746,1
2747,0
2748,0
2749,0
2750,0
2751,1
2752,0
2753,0
2754,1
2755,1
2756,1
2757,0
2758,0
2759,0
2760,1
2761,1
2762,1
2763,1
2764,1
2765,0
2766,1
2767,0
2768,1
2769,1
2770,0
2771,1
2772,0
2773,1
2774,0
2775,0
2776,0
2777,0
2778,1
2779,1
2780,0
2781,0
2782,0
2783,1
2784,0
2785,0
2786,1
2787,1
2788,1
2789,0
2790,1
2791,0
2792,1
2793,0
2794,1
2795,1
2796,1
2797,1
2798,1
2799,0
2800,1
2801,0
2802,0
2803,1
2804,0
2805,1
2806,0
2807,0
2808,1
2809,1
2810,1
2811,0
2812,1
2813,0
2814,0
2815,0
2816,0
2817,0
2818,0
2819,1
2820,0
2821,0
2822,0
2823,0
2824,0
2825,0
2826,1
2827,1
2828,0
2829,0
2830,1
2831,1
2832,0
2833,1
2834,0
2835,1
2836,1
2837,0
2838,0
2839,1
2840,0
2841,0
2842,0
2843,1
2844,0
2845,0
2846,1
2847,1
2848,0
2849,1
2850,0
2851,1
2852,1
2853,0
2854,1
2855,1
2856,0
2857,0
2858,0
2859,1
2860,0
2861,1
2862,1
2863,1
2864,0
2865,0
2866,0
2867,1
2868,0
2869,0
2870,0
2871,1
2872,1
2873,0
2874,1
2875,1
2876,1
2877,0
2878,0
2879,1
2880,1
2881,0
2882,0
2883,1
2884,1
2885,0
2886,1
2887,0
2888,0
2889,1
2890,0
2891,0
2892,1
2893,1
2894,1
2895,0
2896,0
2897,0
2898,1
2899,0
2900,1
2901,1
2902,0
2903,0
2904,1
2905,0
2906,0
2907,1
2908,0
2909,1
2910,0
2911,1
2912,0
2913,0
2914,1
2915,0
2916,0
2917,1
2918,0
2919,0
2920,1
2921,0
2922,0
2923,0
2924,0
2925,0
2926,1
2927,0
2928,1
2929,1
2930,0
2931,0
2932,0
2933,0
2934,1
2935,1
2936,0
2937,1
2938,1
2939,0
2940,1
2941,1
2942,1
2943,0
2944,0
2945,1
2946,1
2947,1
2948,1
2949,1
2950,0
2951,0
2952,0
2953,0
2954,0
2955,0
2956,0
2957,1
2958,0
2959,1
2960,0
2961,0
2962,1
2963,1
2964,0
2965,0
2966,1
2967,1
2968,1
2969,1
2970,0
2971,1
2972,1
2973,0
2974,0
2975,1
2976,1
2977,0
2978,1
2979,1
2980,0
2981,0
2982,1
2983,1
2984,0
2985,0
2986,0
2987,1
2988,0
2989,0
2990,1
2991,0
2992,0
2993,0
2994,0
2995,0
2996,1
2997,1
